【信息系统项目管理师】47个过程口语化描述

过程名	说明	可以写什么
–	范围管理	–
范围规划	编写一个范围管理的计划	可以写我组织相关人员进行了范围管理计划的编制工作，在进行编制前做了什么准备，通过什么方法进行了编制，编制后的计划包含什么内容
收集需求	就是记录并管理干系人需要和需求的过程	可以写有哪些类型的需求，可以写这个过程的重要性，可以写有什么问题，是如何解决的，可以写需求文件，建立需求跟踪矩阵等
范围定义	对项目和产品进行详细的描述，并写到详细的范围说明书中，形成详细的范围说明书	可以举例进行描述，本项目的某个功能原来是怎么定义的，现在我们是如何表示的
创建WBS	将项目可交付成果和项目管理工作分解为更小的，更易于管理的工作单元	我们可以写为什么要分解，按照树型还是列表型分解，是将什么作为第一层，分解的五个步骤是什么，遵循原则是什么
范围确认	阶段性的接收项目可交付物，对不可以接受的说明理由，重新整改	可以具体的写我们通过什么方式进行了范围确认的工作，哪些可以接受，哪些不可以接受，是什么原因，我们将做怎样的整改
范围控制	要管理好变更，做好范围管理工作，避免出现范围蔓延的情况	可以写写如何防止范围蔓延，写范围控制的重要性，然后举例说明我们是如何进行变更控制
–	进度管理	–
制订进度管理计划	就是写一个叫做进度管理计划的文档	可以写我组织了相关人员进行了进度管理计划的编制工作，在编制前做了什么准备，通过什么方法进行了编制，编制后的计划包含了什么内容，计划的重要性
活动定义	看看我们这个项目里面有多少活动需要完成，识别出来并记录下来	可以讲讲活动定义和WBS之间的关系，举例写下结合本项目有哪些活动
活动排序	明确活动之间的依赖关系和先后顺序，并记录下来	可以具体的举例描述一下活动的逻辑关系，比如在本项目中活动A和活动B之间的关系等等，更新我们的活动属性和清单内容等
活动资源估算	估算一下每个活动到底需要多少材料，人员，设备等等资源	结合项目进行举例，在本项目中某某活动需要什么资源，需要多少资源，什么时候需要资源等，是通过什么方式进行的估算
活动历时估算	估算下完成活动需要的持续时间	结合项目进行举例，通过什么方法对本项目中的一些活动进行了历时估算，多少时间等
制定进度计划	我们分析这些活动的顺序，历时，资源需求和相关的一些进度约束等内容，来编写进度管理计划	通过以上的准备工作，我们可以在项目中通过什么方法进行进度管理计划的制定的，这是我们进行进度控制的基础
进度控制	我们要监控项目的具体状态，如果发现有偏差，我们需要进行纠偏	可以写进度控制的重要性，工作内容，例举挣值分析，发现项目进度的偏差，分析为什么会有偏差，如何进行纠偏
–	沟通管理	–
沟通管理计划	需要编写一个文档，记录如下的相关信息：项目的干系人，他们需要什么样的信息，什么时候需要，什么时候给他们，如何给他们等	可以写本过程的重要性，编写的方法，原则过程，计划的内容等等方面进行阐述
管理沟通	需要按照沟通管理计划去收集，分发，存储信息，去进行沟通	写本过程的重要性，输入输出工具与技术，有什么问题，怎么解决，还可以写项目报告的内容
控制沟通	就是要看沟通的过程做得怎么样，进行监督和控制	本过程的重要性，输入输出工具与技术，有什么问题，如何通过变更流程来解决，还可以写绩效信息，组织过程资产
–	干系人管理	–
